ANO_SAEB;CO_UF;NO_UF;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;TX_ALFABETIZADO;MEDIA_2_LP;MEDIA_2_MT
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Urbana;Capital;45,57;729,49;738,06
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Urbana;Interior;17,44;692,02;723,21
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Rural;Total;26,03;699,59;719,18
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Rural;Capital;14,29;693,87;717,22
2021;13;Amazonas;Total - Federal, Estadual, Municipal e Privada;Rural;Interior;27,62;700,36;719,45
2021;13;Amazonas;Federal;Total;Total;0;;
2021;13;Amazonas;Federal;Total;Capital;0;;
2021;13;Amazonas;Federal;Total;Interior;0;;
2021;13;Amazonas;Federal;Urbana;Total;0;;
2021;13;Amazonas;Federal;Urbana;Capital;0;;
2021;13;Amazonas;Federal;Urbana;Interior;0;;
2021;13;Amazonas;Federal;Rural;Total;0;;
2021;13;Amazonas;Federal;Rural;Interior;0;;
2021;13;Amazonas;Estadual;Total;Total;44,7;729,25;744,38
2021;13;Amazonas;Estadual;Total;Capital;51,83;741,71;738,93
2021;13;Amazonas;Estadual;Total;Interior;38,11;717,75;749,41
2021;13;Amazonas;Estadual;Urbana;Total;44,62;729,24;745,26
2021;13;Amazonas;Estadual;Urbana;Capital;51,83;741,71;738,93
2021;13;Amazonas;Estadual;Urbana;Interior;37,5;716,94;751,5
2021;13;Amazonas;Estadual;Rural;Total;47,08;729,59;718,6
2021;13;Amazonas;Estadual;Rural;Capital;0;;
2021;13;Amazonas;Estadual;Rural;Interior;47,08;729,59;718,6
2021;13;Amazonas;Municipal;Total;Total;23,6;699,49;722,66
2021;13;Amazonas;Municipal;Total;Capital;33,93;713,58;732,93
2021;13;Amazonas;Municipal;Total;Interior;11,19;682,58;710,33
2021;13;Amazonas;Municipal;Urbana;Total;23,43;699,85;723,27
2021;13;Amazonas;Municipal;Urbana;Capital;34,66;714,3;733,51
2021;13;Amazonas;Municipal;Urbana;Interior;5,1;676,26;706,56
2021;13;Amazonas;Municipal;Rural;Total;24,55;697,47;719,22
2021;13;Amazonas;Municipal;Rural;Capital;14,29;693,87;717,22
2021;13;Amazonas;Municipal;Rural;Interior;26,04;698;719,51
2021;13;Amazonas;Privada;Total;Total;85,73;781,42;760,93
2021;13;Amazonas;Privada;Total;Capital;86,21;781,38;757,35
2021;13;Amazonas;Privada;Total;Interior;81,31;781,79;793,76
2021;13;Amazonas;Privada;Urbana;Total;85,73;781,42;760,93
2021;13;Amazonas;Privada;Urbana;Capital;86,21;781,38;757,35
2021;13;Amazonas;Privada;Urbana;Interior;81,31;781,79;793,76
2021;13;Amazonas;Privada;Rural;Total;0;;
2021;13;Amazonas;Privada;Rural;Interior;0;;
2021;13;Amazonas;Total - Estadual e Municipal;Total;Total;28,76;706,77;727,97
2021;13;Amazonas;Total - Estadual e Municipal;Total;Capital;37,91;719,82;734,26
2021;13;Amazonas;Total - Estadual e Municipal;Total;Interior;18,47;692,09;720,89
2021;13;Amazonas;Total - Estadual e Municipal;Urbana;Total;29,14;707,77;729,2
