ID;DEPENDENCIA_ADM;LOCALIZACAO;CAPITAL;MEDIA_5_LP;MEDIA_5_MT;MEDIA_9_LP;MEDIA_9_MT;MEDIA_12_LP;MEDIA_12_MT;nivel_0_LP5;nivel_1_LP5;nivel_2_LP5;nivel_3_LP5;nivel_4_LP5;nivel_5_LP5;nivel_6_LP5;nivel_7_LP5;nivel_8_LP5;nivel_9_LP5;nivel_0_MT5;nivel_1_MT5;nivel_2_MT5;nivel_3_MT5;nivel_4_MT5;nivel_5_MT5;nivel_6_MT5;nivel_7_MT5;nivel_8_MT5;nivel_9_MT5;nivel_10_MT5;nivel_0_LP9;nivel_1_LP9;nivel_2_LP9;nivel_3_LP9;nivel_4_LP9;nivel_5_LP9;nivel_6_LP9;nivel_7_LP9;nivel_8_LP9;nivel_0_MT9;nivel_1_MT9;nivel_2_MT9;nivel_3_MT9;nivel_4_MT9;nivel_5_MT9;nivel_6_MT9;nivel_7_MT9;nivel_8_MT9;nivel_9_MT9;nivel_0_LP12;nivel_1_LP12;nivel_2_LP12;nivel_3_LP12;nivel_4_LP12;nivel_5_LP12;nivel_6_LP12;nivel_7_LP12;nivel_8_LP12;nivel_0_MT12;nivel_1_MT12;nivel_2_MT12;nivel_3_MT12;nivel_4_MT12;nivel_5_MT12;nivel_6_MT12;nivel_7_MT12;nivel_8_MT12;nivel_9_MT12;nivel_10_MT12
Brasil;Privada;Total;Capital;241,28;252,71;290,32;298,29;319,1;331,02;0,72;2,48;4,86;10,03;16,67;20,97;20,36;13,98;8,37;1,57;0,33;0,94;3,14;8,61;14,47;18,98;21,13;17,11;9,91;4,99;0,37;5,65;4,88;8,09;13,43;19,71;23,64;16,53;7,73;0,33;3,96;4,07;8,41;13,74;17,62;20,7;16,3;10,28;4,91;0;5,7;3,63;7,03;11;18,92;25,78;20,86;6,85;0,23;5,17;4,01;6,4;11,37;15,03;18,54;16,02;11,67;8,08;3,69;0
Brasil;Privada;Total;Interior;240,37;253,92;295,5;305,57;323,89;337;0,88;1,79;4,84;9,81;17,45;21,97;21,14;13,73;7,16;1,24;0,23;0,81;2,69;7,42;14,13;20,87;20,51;17,78;10,73;4,7;0,12;4,17;3,67;7,02;13,21;19,95;24,22;19,56;7,81;0,39;2,61;3,05;6,71;11,18;18,34;21,75;18,77;11,85;5,73;0;3,45;2,81;5,92;11,73;19,65;27,2;21,6;7,15;0,48;3,01;2,68;5,76;9,87;15,74;20,27;19,52;13,38;6,88;2,88;0
Brasil;Privada;Total;Total;240,71;253,47;293,47;302,72;321,85;334,45;0,82;2,05;4,85;9,89;17,16;21,59;20,85;13,82;7,61;1,36;0,27;0,86;2,86;7,86;14,26;20,17;20,74;17,53;10,42;4,81;0,22;4,75;4,14;7,44;13,3;19,86;23,99;18,37;7,78;0,36;3,14;3,45;7,38;12,19;18,06;21,34;17,81;11,23;5,41;0;4,41;3,16;6,4;11,42;19,34;26,59;21,29;7,02;0,37;3,93;3,25;6,04;10,51;15,44;19,53;18,03;12,65;7,4;3,23;0
Brasil;Privada;Urbana;Capital;241,32;252,76;290,34;298,33;319,1;331,03;0,72;2,48;4,84;10,03;16,66;20,97;20,38;13,99;8,38;1,57;0,33;0,94;3,13;8,59;14,47;18,99;21,14;17,12;9,92;5;0,37;5,66;4,88;8,08;13,42;19,69;23,66;16,54;7,74;0,33;3,96;4,07;8,4;13,73;17,6;20,7;16,32;10,29;4,92;0;5,71;3,63;7,03;10,99;18,91;25,78;20,87;6,85;0,23;5,17;4,01;6,4;11,37;15,03;18,55;16,02;11,67;8,09;3,7;0
Brasil;Privada;Urbana;Interior;240,6;254,18;295,8;305,89;324,39;337,51;0,87;1,76;4,76;9,74;17,4;22,04;21,21;13,79;7,19;1,25;0,23;0,79;2,64;7,35;14,05;20,88;20,54;17,87;10,8;4,75;0,12;4,1;3,6;6,95;13,16;19,95;24,31;19,69;7,85;0,39;2,57;2,98;6,63;11,11;18,32;21,83;18,86;11,92;5,78;0;3,26;2,75;5,85;11,68;19,7;27,32;21,74;7,22;0,49;2,84;2,61;5,7;9,84;15,72;20,32;19,64;13,48;6,95;2,9;0
Brasil;Privada;Urbana;Total;240,87;253,65;293,65;302,91;322,11;334,72;0,81;2,03;4,79;9,84;17,12;21,64;20,9;13,87;7,64;1,37;0,27;0,85;2,82;7,81;14,2;20,17;20,76;17,59;10,47;4,84;0,22;4,71;4,11;7,4;13,26;19,85;24,05;18,45;7,8;0,37;3,12;3,41;7,33;12,14;18,04;21,39;17,86;11,28;5,44;0;4,31;3,13;6,36;11,38;19,36;26,66;21,37;7,06;0,38;3,84;3,21;6;10,5;15,42;19,56;18,08;12,7;7,44;3,24;0
Brasil;Total - Estadual e Municipal;Rural;Capital;201,99;214,47;243,77;246,01;247,29;242,97;4,06;10,25;15,85;19,76;18,49;15,3;9,69;4,48;1,85;0,26;1,29;5,41;13,3;20,62;20,53;16,91;11,62;6,35;2,93;1,01;0,03;18,79;16,57;19,39;18,25;15,13;8,28;2,79;0,77;0,04;18,41;16,15;19,18;18,5;13,96;8,46;3,5;1,18;0,66;0;35,53;18,05;17,96;14,15;8,63;4,28;1,11;0,29;0;38,05;19,16;17,33;13,9;6,85;3,2;1,2;0,32;0;0;0
Brasil;Total - Estadual e Municipal;Rural;Interior;187,76;202,37;238,18;241,32;250,15;248,25;9,28;16,76;18,5;17,19;14,77;11,15;7,01;3,48;1,57;0,3;2,72;10,53;18,65;20,68;17,43;13,07;8,66;4,89;2,25;1,09;0,04;23,27;17,49;18,64;17,28;12,6;7,12;2,84;0,73;0,02;22,02;16,34;18,68;17,49;13,28;7,46;3,12;1,19;0,42;0;33,06;18,62;18,02;14,2;9,19;4,94;1,69;0,27;0;35,23;17,75;17,11;14,06;8,8;4,51;1,87;0,55;0,11;0,03;0
Brasil;Total - Estadual e Municipal;Rural;Total;188,22;202,76;238,32;241,44;250,05;248,07;9,11;16,54;18,42;17,27;14,89;11,29;7,1;3,51;1,58;0,29;2,67;10,36;18,47;20,68;17,53;13,19;8,76;4,94;2,27;1,09;0,04;23,16;17,47;18,66;17,3;12,67;7,15;2,84;0,73;0,02;21,93;16,34;18,69;17,52;13,3;7,49;3,13;1,19;0,42;0;33,15;18,6;18,02;14,2;9,18;4,92;1,67;0,27;0;35,33;17,8;17,11;14,05;8,73;4,47;1,84;0,54;0,1;0,03;0
Brasil;Total - Estadual e Municipal;Total;Capital;213,15;225,14;254,41;253,81;271,88;265,47;3,13;7,45;12,29;16,76;19,11;17,94;12,97;6,82;3,07;0,47;0,86;3,61;9,66;16,52;20,35;19,45;14,9;8,98;4,06;1,56;0,04;15,8;12,38;16,39;18,6;17,5;12,13;5,61;1,54;0,04;14,19;13,43;17,93;19,92;17,81;10,67;4,22;1,39;0,45;0;20,26;13,17;16,53;18,07;16,13;10,75;4,27;0,79;0,03;22,7;15,09;18,25;18,54;13,33;7,6;3,16;0,97;0,29;0,06;0
